,Tmin,DateTime
71,59.0,2010-08-11
72,60.08,2010-08-12
73,59.0,2010-08-13
74,59.0,2010-08-14
75,59.0,2010-08-15
76,59.0,2010-08-16
77,60.08,2010-08-17
78,62.96,2010-08-18
79,64.94,2010-08-19
80,62.96,2010-08-20
81,62.06,2010-08-21
82,60.08,2010-08-22
83,60.98,2010-08-23
84,60.98,2010-08-24
85,64.94,2010-08-25
86,62.96,2010-08-26
87,60.98,2010-08-27
88,60.08,2010-08-28
89,62.06,2010-08-29
90,60.08,2010-08-30
91,57.92,2010-08-31
0,51.98,2011-06-01
1,53.06,2011-06-02
2,53.96,2011-06-03
3,53.96,2011-06-04
4,55.04,2011-06-05
5,55.94,2011-06-06
6,57.02,2011-06-07
7,55.04,2011-06-08
8,59.0,2011-06-09
9,57.92,2011-06-10
10,59.0,2011-06-11
11,57.92,2011-06-12
12,59.0,2011-06-13
13,57.92,2011-06-14
14,57.02,2011-06-15
15,57.02,2011-06-16
16,,2011-06-17
17,60.08,2011-06-18
18,60.08,2011-06-19
19,60.08,2011-06-20
20,60.08,2011-06-21
21,60.08,2011-06-22
22,59.0,2011-06-23
23,60.98,2011-06-24
24,62.06,2011-06-25
25,60.98,2011-06-26
26,60.98,2011-06-27
27,60.98,2011-06-28
28,62.06,2011-06-29
29,60.98,2011-06-30
30,62.06,2011-07-01
31,62.96,2011-07-02
32,64.04,2011-07-03
33,62.96,2011-07-04
34,62.96,2011-07-05
35,66.02,2011-07-06
36,66.92,2011-07-07
37,66.92,2011-07-08
38,64.94,2011-07-09
39,64.04,2011-07-10
40,64.04,2011-07-11
41,62.96,2011-07-12
42,62.96,2011-07-13
43,62.96,2011-07-14
44,62.06,2011-07-15
45,62.96,2011-07-16
46,62.06,2011-07-17
47,60.98,2011-07-18
48,62.06,2011-07-19
49,64.04,2011-07-20
50,59.0,2011-07-21
51,60.08,2011-07-22
52,62.06,2011-07-23
53,62.06,2011-07-24
54,60.08,2011-07-25
55,64.94,2011-07-26
56,64.94,2011-07-27
57,64.94,2011-07-28
58,66.02,2011-07-29
59,64.04,2011-07-30
60,64.04,2011-07-31
61,62.96,2011-08-01
62,64.04,2011-08-02
63,62.06,2011-08-03
64,60.98,2011-08-04
65,59.0,2011-08-05
66,60.98,2011-08-06
67,59.0,2011-08-07
68,60.08,2011-08-08
69,60.98,2011-08-09
70,60.08,2011-08-10
71,62.96,2011-08-11
72,62.96,2011-08-12
73,62.06,2011-08-13
74,62.06,2011-08-14
75,62.96,2011-08-15
76,,2011-08-16
77,,2011-08-17
78,62.06,2011-08-18
79,62.06,2011-08-19
80,,2011-08-20
81,62.96,2011-08-21
82,62.06,2011-08-22
83,62.06,2011-08-23
84,62.96,2011-08-24
85,62.96,2011-08-25
86,64.04,2011-08-26
87,66.02,2011-08-27
88,66.02,2011-08-28
89,66.02,2011-08-29
90,64.04,2011-08-30
91,62.06,2011-08-31
0,60.08,2012-06-01
1,60.98,2012-06-02
2,62.06,2012-06-03
3,62.06,2012-06-04
4,60.98,2012-06-05
5,60.08,2012-06-06
6,57.92,2012-06-07
7,60.08,2012-06-08
8,60.98,2012-06-09
9,62.06,2012-06-10
10,60.98,2012-06-11
11,60.98,2012-06-12
12,60.98,2012-06-13
13,62.06,2012-06-14
14,62.06,2012-06-15
15,62.06,2012-06-16
16,62.06,2012-06-17
17,60.08,2012-06-18
18,60.08,2012-06-19
19,60.98,2012-06-20
20,60.98,2012-06-21
21,60.98,2012-06-22
22,60.98,2012-06-23
23,60.08,2012-06-24
24,59.0,2012-06-25
25,57.92,2012-06-26
26,57.92,2012-06-27
27,60.08,2012-06-28
28,59.0,2012-06-29
29,60.08,2012-06-30
30,60.98,2012-07-01
31,62.06,2012-07-02
32,62.06,2012-07-03
33,62.96,2012-07-04
34,62.96,2012-07-05
35,62.06,2012-07-06
36,60.08,2012-07-07
37,57.92,2012-07-08
38,57.02,2012-07-09
39,60.08,2012-07-10
40,62.96,2012-07-11
41,,2012-07-12
42,62.96,2012-07-13
43,64.04,2012-07-14
44,62.06,2012-07-15
45,62.96,2012-07-16
46,62.06,2012-07-17
47,62.96,2012-07-18
48,62.06,2012-07-19
49,64.94,2012-07-20
50,64.04,2012-07-21
51,62.96,2012-07-22
52,62.96,2012-07-23
53,60.08,2012-07-24
54,60.08,2012-07-25
55,60.98,2012-07-26
56,60.08,2012-07-27
57,,2012-07-28
58,60.98,2012-07-29
59,60.08,2012-07-30
60,62.06,2012-07-31
61,62.06,2012-08-01
62,62.06,2012-08-02
63,62.06,2012-08-03
64,62.96,2012-08-04
65,62.96,2012-08-05
66,62.06,2012-08-06
67,64.04,2012-08-07
68,66.92,2012-08-08
69,68.0,2012-08-09
70,66.92,2012-08-10
71,66.92,2012-08-11
72,69.08,2012-08-12
73,69.98,2012-08-13
74,69.08,2012-08-14
75,66.92,2012-08-15
76,64.94,2012-08-16
77,66.02,2012-08-17
78,69.08,2012-08-18
79,69.98,2012-08-19
80,69.98,2012-08-20
81,69.08,2012-08-21
82,69.08,2012-08-22
83,66.02,2012-08-23
84,66.02,2012-08-24
85,66.02,2012-08-25
86,64.94,2012-08-26
87,64.04,2012-08-27
88,62.96,2012-08-28
89,66.92,2012-08-29
90,71.06,2012-08-30
91,68.0,2012-08-31
0,64.04,2013-06-01
1,62.96,2013-06-02
2,64.94,2013-06-03
3,64.04,2013-06-04
4,62.96,2013-06-05
5,62.06,2013-06-06
6,62.06,2013-06-07
7,62.06,2013-06-08
8,62.06,2013-06-09
9,62.06,2013-06-10
10,62.96,2013-06-11
11,62.96,2013-06-12
12,62.06,2013-06-13
13,62.06,2013-06-14
14,60.98,2013-06-15
15,62.06,2013-06-16
16,60.98,2013-06-17
17,60.08,2013-06-18
18,62.96,2013-06-19
19,62.06,2013-06-20
20,60.98,2013-06-21
21,62.06,2013-06-22
22,62.96,2013-06-23
23,64.04,2013-06-24
24,64.04,2013-06-25
25,64.04,2013-06-26
26,64.04,2013-06-27
27,62.06,2013-06-28
28,64.04,2013-06-29
29,62.96,2013-06-30
30,66.92,2013-07-01
31,66.02,2013-07-02
32,64.94,2013-07-03
33,64.94,2013-07-04
34,64.04,2013-07-05
35,64.94,2013-07-06
36,66.02,2013-07-07
37,64.94,2013-07-08
38,64.04,2013-07-09
39,64.94,2013-07-10
40,66.02,2013-07-11
41,66.92,2013-07-12
42,62.06,2013-07-13
43,62.96,2013-07-14
44,64.04,2013-07-15
45,64.04,2013-07-16
46,62.06,2013-07-17
47,,2013-07-18
48,62.96,2013-07-19
49,62.96,2013-07-20
50,64.94,2013-07-21
51,66.02,2013-07-22
52,64.94,2013-07-23
53,62.96,2013-07-24
54,62.06,2013-07-25
55,62.96,2013-07-26
56,62.96,2013-07-27
57,62.96,2013-07-28
58,62.96,2013-07-29
59,62.96,2013-07-30
60,62.96,2013-07-31
61,62.96,2013-08-01
62,62.06,2013-08-02
63,62.96,2013-08-03
64,62.96,2013-08-04
65,60.98,2013-08-05
66,60.98,2013-08-06
67,62.06,2013-08-07
68,62.06,2013-08-08
69,62.06,2013-08-09
70,62.06,2013-08-10
71,62.06,2013-08-11
72,62.96,2013-08-12
73,62.06,2013-08-13
74,62.06,2013-08-14
75,64.04,2013-08-15
76,64.04,2013-08-16
77,62.96,2013-08-17
78,62.06,2013-08-18
79,,2013-08-19
80,64.04,2013-08-20
81,62.06,2013-08-21
82,62.96,2013-08-22
83,64.04,2013-08-23
84,62.06,2013-08-24
85,60.98,2013-08-25
86,57.02,2013-08-26
87,62.06,2013-08-27
88,64.94,2013-08-28
89,64.94,2013-08-29
90,66.02,2013-08-30
91,71.96,2013-08-31
0,60.98,2014-06-01
1,60.98,2014-06-02
2,60.08,2014-06-03
3,59.0,2014-06-04
4,,2014-06-05
5,60.98,2014-06-06
6,60.98,2014-06-07
7,60.98,2014-06-08
8,60.08,2014-06-09
9,59.0,2014-06-10
10,62.96,2014-06-11
11,62.96,2014-06-12
12,62.06,2014-06-13
13,62.06,2014-06-14
14,62.06,2014-06-15
15,62.96,2014-06-16
16,62.06,2014-06-17
17,60.98,2014-06-18
18,60.98,2014-06-19
19,62.06,2014-06-20
20,64.04,2014-06-21
21,64.04,2014-06-22
22,64.94,2014-06-23
23,64.94,2014-06-24
24,64.94,2014-06-25
25,64.94,2014-06-26
26,66.02,2014-06-27
27,66.02,2014-06-28
28,66.92,2014-06-29
29,66.92,2014-06-30
30,66.02,2014-07-01
31,66.02,2014-07-02
32,64.94,2014-07-03
33,66.02,2014-07-04
34,66.02,2014-07-05
35,69.08,2014-07-06
36,68.0,2014-07-07
37,68.0,2014-07-08
38,66.92,2014-07-09
39,66.92,2014-07-10
40,66.02,2014-07-11
41,66.02,2014-07-12
42,66.02,2014-07-13
43,66.92,2014-07-14
44,69.08,2014-07-15
45,68.0,2014-07-16
46,66.92,2014-07-17
47,66.02,2014-07-18
48,66.02,2014-07-19
49,66.02,2014-07-20
50,66.92,2014-07-21
51,64.94,2014-07-22
52,66.02,2014-07-23
53,64.94,2014-07-24
54,66.92,2014-07-25
55,68.0,2014-07-26
56,64.94,2014-07-27
57,66.02,2014-07-28
58,68.0,2014-07-29
59,66.92,2014-07-30
60,68.0,2014-07-31
61,66.92,2014-08-01
62,64.04,2014-08-02
63,64.94,2014-08-03
64,68.0,2014-08-04
65,64.04,2014-08-05
66,62.06,2014-08-06
67,62.96,2014-08-07
68,64.94,2014-08-08
69,66.02,2014-08-09
70,66.92,2014-08-10
71,66.02,2014-08-11
72,64.94,2014-08-12
73,66.02,2014-08-13
74,66.02,2014-08-14
75,64.94,2014-08-15
76,62.96,2014-08-16
77,66.92,2014-08-17
78,,2014-08-18
79,66.02,2014-08-19
80,68.0,2014-08-20
81,66.92,2014-08-21
82,66.92,2014-08-22
83,66.92,2014-08-23
84,66.02,2014-08-24
85,66.02,2014-08-25
86,64.04,2014-08-26
87,64.94,2014-08-27
88,66.92,2014-08-28
89,69.08,2014-08-29
90,66.92,2014-08-30
91,66.02,2014-08-31
0,55.94,2015-06-01
1,57.02,2015-06-02
2,59.0,2015-06-03
3,,2015-06-04
4,59.0,2015-06-05
5,59.0,2015-06-06
6,59.0,2015-06-07
7,59.0,2015-06-08
8,59.0,2015-06-09
9,60.08,2015-06-10
10,,2015-06-11
11,60.08,2015-06-12
12,60.98,2015-06-13
13,62.06,2015-06-14
14,60.98,2015-06-15
15,60.98,2015-06-16
16,,2015-06-17
17,60.98,2015-06-18
18,60.98,2015-06-19
19,59.0,2015-06-20
20,60.98,2015-06-21
21,62.96,2015-06-22
22,62.96,2015-06-23
23,64.04,2015-06-24
24,62.96,2015-06-25
25,60.98,2015-06-26
26,60.08,2015-06-27
27,62.06,2015-06-28
28,66.02,2015-06-29
29,66.92,2015-06-30
30,64.94,2015-07-01
31,66.02,2015-07-02
32,,2015-07-03
33,62.06,2015-07-04
